idsubproduto,nome_produto,descrsecao,descrgrupo,descrsubgrupo,descricao_produto,especificacao_tecnica,pagina_web,manual,fotos
11975,KIT JARDIM 1,ACESSORIO/MIUDEZA,FERRAMENTAS,KIT PROMO,"Kit Jardim 1, um conjunto de itens para jardinagem. Detalhes específicos não fornecidos.",,Não encontrado,Não encontrado,
2026,CARVAO BLACK DECKER 0111 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O Carvão Black Decker 0111 é um produto relacionado a ferramentas elétricas, mas informações específicas não foram encontradas.",,Não encontrado,Não encontrado,https://down-br.img.susercontent.com/file/br-11134207-7r98o-m5jakxbnn3v48c | https://http2.mlstatic.com/D_NQ_NP_673500-MLB51794036910_102022-O.webp | https://cdn.awsli.com.br/2500x2500/2551/2551379/produto/203389491458acc5a76.jpg
1914,CARVAO BLACK DECKER 017-C *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O produto é um carvão da marca Black & Decker, modelo 017-C. Não foram encontradas informações adicionais.",,Não encontrado,Não encontrado,http://acdn.mitiendanube.com/stores/002/247/567/products/hidro-grande-21-8fe21a9fa4350e717216832305880991-640-0.jpg | https://down-br.img.susercontent.com/file/br-11134207-7r98o-m5jakxbnn3v48c | https://http2.mlstatic.com/D_NQ_NP_720535-MLB82610071491_022025-O-carvao-furadeira-black-decker-7010-com-2pecas-c156g-kit.webp
1650,CARVAO BLACK DECKER 0418 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O Carvão Black Decker 0418 é um produto relacionado a ferramentas elétricas, mas as informações específicas não estão disponíveis.",,Não encontrado,Não encontrado,https://cdn.awsli.com.br/2500x2500/2551/2551379/produto/203375242/5140180-78-38e4e8mole.png | https://eletrografite.com.br/escovas-de-carvao-para-ferramentas-eletricas/images/virtuemart/product/3667.png | https://cdn.awsli.com.br/2500x2500/2551/2551379/produto/203389491458acc5a76.jpg
1649,CARVAO BLACK DECKER 0519 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O produto é um carvão da marca Black & Decker, modelo 0519.",,Não encontrado,Não encontrado,
2027,CARVAO BLACK DECKER 211A *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,O Carvão Black & Decker 211A é um equipamento de corte e lixamento para uso em ferramentas elétricas.,,Não encontrado,Não encontrado,https://media.ferramentas.pt/catalog/product/5/_/5_9_9.jpg?width=485&height=485&store=default&image-type=image | https://www.proelis.com.br/escovas-de-carvao/escova-carvao-black-decker-3011a22-xse-125-schunk.jpg | https://static.felap.com.br/public/felap/imagens/produtos/par-de-escova-de-carvao-5140122-03-black-decker-683f068b84170.jpg
3354,CARVAO BOSCH SERRA MARMORE GDC 1440 * ( 416 ),ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O produto é um carvão da marca Bosch, modelo Serra Mármore GDC 1440 * (416).","Compatível com serra mármore Bosch GDC 1440, tensão 127V.",Não encontrado,Não encontrado,https://cdn.awsli.com.br/600x1000/2579/2579108/produto/2269920116a12b67a73.jpg | https://down-br.img.susercontent.com/file/br-11134207-7qukw-ljrb97bwv3wq15 | https://ultramaquinas.fbitsstatic.net/img/p/jogo-de-escovas-de-carvao-127v-para-serra-marmore-gdc-150-151-ref-160432116y-bosch-75581/262741-1.jpg?w=600&h=600&v=no-value
1910,CARVAO BOSH (350) 76523 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão BOSH 350, modelo 76523, utilizado para diversos fins, como churrasco ou aquecimento.",,Não encontrado,https://www.manualslib.com/,https://http2.mlstatic.com/D_Q_NP_2X_915539-MLB73064253867_112023-P.webp | https://http2.mlstatic.com/D_NQ_NP_824002-MLA99600076688_122025-O.webp | https://http2.mlstatic.com/D_Q_NP_2X_968373-MLA99846233397_112025-P.webp | https://http2.mlstatic.com/D_NQ_NP_793199-MLB73225379910_122023-O.webp | https://http2.mlstatic.com/D_NQ_NP_884726-MLB80006289348_102024-O.webp | https://www.novabauru.com.br/thumbs.php?mcize=1000&dir=admin/produto_anexo/1006.jpg
1911,CARVAO BOSH (350-B) 76523 B *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão BOSH 350-B, modelo 76523 B. Componente utilizado em equipamentos da marca BOSH.","Dimensões: 5x8x17 mm, Voltagem: 127 / 220V",https://www.mercadolivre.com.br/escovas-de-carvao-furadeira-bosch-super-hobby--original/up/MLBU1116226481,https://media3.bosch-home.com/Documents/9001526312_A.pdf,https://http2.mlstatic.com/D_NQ_NP_824002-MLA99600076688_122025-O.webp | https://http2.mlstatic.com/D_Q_NP_2X_968373-MLA99846233397_112025-P.webp
1655,CARVAO BOSH (374) 11663 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão BOSH, modelo 374, código 11663.","Compatível com modelos como Bosch GSB 13 RE, GSB 16 RE. Ajuda a evitar faíscas no coletor/induzido e melhora a performance da ferramenta.",https://www.amazon.com.br/Bosch-160701418F-000-Escova-Carv%C3%A3o-Esmerilhadeira/dp/B08CKR3S8V,https://www.youtube.com/watch?v=87groSlz4so,https://static.reposicaoonline.com.br/public/reposicaoonline/imagens/produtos/escova-de-carvao-h43-p-serra-1548-1546-f000611036-bosch-650d9c35bf500.jpg | https://cdn.awsli.com.br/800x800/122/122317/produto/18544038/e8662bda1e.jpg | https://copafer.vtexassets.com/arquivos/ids/156295-800-auto?v=638736176709970000&width=800&height=auto&aspect=true
1648,CARVAO BOSH (380) 0665 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O Carvão Bosh (380) 0665 é um produto utilizado para diversas aplicações, mas informações específicas não foram encontradas.","Dimensões: 5x8x17 mm, Voltagem: 127 / 220V",https://www.mercadolivre.com.br/escovas-de-carvao-furadeira-bosch-super-hobby--original/up/MLBU1116226481,Não encontrado,https://images.tcdn.com.br/img/img_prod/1420145/carvao_c380g_p_serra_circular_bosch_5300gks_183_1_38fcf1aeefe9b81fa7de712853b435c2.jpg | https://http2.mlstatic.com/D_NQ_NP_871685-MLB69940512119_062023-O.webp | https://images.tcdn.com.br/img/img_prod/1301601/carvao_bosch_parafuso_gsb_180li_1_20260122110253_98bdb5db4c3a.png
1909,CARVAO BOSH (401) 1551-1 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O Carvão Bosh (401) 1551-1 é um componente utilizado em equipamentos de ferramentas elétricas, especificamente para motores de carbono.","Kit com 10 peças, compatível com diversas serras circulares, alta qualidade para cortes precisos.",https://www.magazineluiza.com.br/carvao-serra-circular-bosch-1551-1-401-kit-c-10-metal-grafite/p/bee51h5b40/fs/afer/,Não encontrado,https://http2.mlstatic.com/D_NQ_NP_674010-MLA87409089679_072025-O.webp | https://d3ugyf2ht6aenh.cloudfront.net/stores/001/865/211/products/a76795a6ab951326069866e246a1145eawsaccesskeyidakiatclmsgfx4j7tu445expires1688088321signaturetx8wodtrjrytfvncybr4xv81uuu3d-dde72981eef7056d8216854963264722-640-0.webp | https://globalcenter.agilecdn.com.br/142638.jpg
1908,CARVAO BOSH 02150 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão Bosh 02150, um componente utilizado em ferramentas elétricas da marca Bosch.",,Não encontrado,Não encontrado,https://product-hub-prd.madeiramadeira.com.br/410401473/images/b25ea673-f39f-44b4-9d94-9a2e902b980e26ab7b28d4234fe2cdc74f4ba.jpeg | https://down-br.img.susercontent.com/file/br-11134207-7r98o-luz2c1kvymj819 | https://www.eletropartscomponentes.com.br/wp-content/uploads/2026/01/foto_produto_ferramenta_42.png
1913,CARVAO BOSH 0871 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O produto é um carvão da marca Bosh, modelo 0871. Não foram encontradas informações adicionais.",,Não encontrado,Não encontrado,
1696,CARVAO BOSH 10.722 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão BOSH 10.722, utilizado em ferramentas elétricas Bosch, como esmerilhadeiras.",,Não encontrado,Não encontrado,https://http2.mlstatic.com/D_NQ_NP_958700-MLB82325904892_022025-O-carvao-martelo-bosch-gbh-2-24d-445-kit-c10.webp | https://http2.mlstatic.com/D_NQ_NP_686813-MLB83620516094_042025-O-carvao-c122g-pfuradbosch-110607.webp | https://http2.mlstatic.com/D_NQ_NP_870428-MLB87982385043_072025-O.webp
1645,CARVAO BOSH 11760 * (322),ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão Bosh 11760 * (322) é um produto relacionado a churrasqueiras, possivelmente um modelo de carvão para churrasco.",,Não encontrado,Não encontrado,https://cdn.awsli.com.br/2500x2500/445/445768/produto/43337920/8773636899.jpg | https://http2.mlstatic.com/D_NQ_NP_747505-MLB86402231102_062025-O.webp
1644,CARVAO BOSH 87.060 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O produto é um carvão da marca BOSH, modelo 87.060.","Dimensões aproximadas: 10x15x20 cm. Peso aproximado: 300 g. Inclui 1 refil de gás butano. Não possui certificações ANVISA, MAPA ou INMETRO.",https://www.carrefour.com.br/produto/kit-1-macarico-portatil-multiuso-gourmet-controle-de-chama-340599262,Não encontrado,https://down-br.img.susercontent.com/file/sg-11134201-22110-ftnszg1p45jv52 | https://product-hub-prd.madeiramadeira.com.br/304332581/images/82796142-7417-42c3-a702-88f91ee8d2e112b9c55f6d55afd274905d9dc.jpeg | https://www.compresp.com/image/cache/catalog/catalog90/73425-1000x1000.jpg
1912,CARVAO DEWALT  (387)    * 607187 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O produto é um carvão da marca Dewalt, modelo 387, com o código 607187.",,Não encontrado,Não encontrado,
1907,CARVAO DEWALT (371) 670224 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O produto é um carvão da marca Dewalt, modelo 670224.",,Não encontrado,Não encontrado,https://a-static.mlcdn.com.br/800x560/carvao-bd-dewalt/ferramentasbahia/10471p/2f61477950316f6ea35c68dfe10f5a7b.jpg | https://http2.mlstatic.com/D_NQ_NP_939373-MLB49869996416_052022-O.webp | https://http2.mlstatic.com/D_NQ_NP_930656-MLB82610099077_022025-O.webp
1915,CARVAO DEWALT (385) 615019 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,O Carvão DeWalt (385) 615019 é um produto utilizado em ferramentas elétricas da marca DeWalt.,,Não encontrado,Não encontrado,https://http2.mlstatic.com/D_NQ_NP_709190-MLB80261469985_102024-O.webp | https://a-static.mlcdn.com.br/800x560/carvao-bd-dewalt/ferramentasbahia/10471p/2f61477950316f6ea35c68dfe10f5a7b.jpg | https://down-br.img.susercontent.com/file/br-11134207-7r98o-lnsxczizsifbbb
10542,CARVÃO ESMER BOSCH 3655 100 007,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão Esmer Bosch 3655 100 007, utilizado em ferramentas elétricas da marca Bosch.",,Não encontrado,Não encontrado,
10546,CARVÃO ESMER MAKITA 3655 100 010,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão Esmer Makita 3655 100 010, peça de reposição para ferramentas elétricas Makita.","Compatível com ferramentas elétricas Makita, modelo 3655 100 010.",Não encontrado,Não encontrado,https://www.eletropartscomponentes.com.br/wp-content/uploads/2026/01/foto_produto_ferramenta_27.png | https://fermaquinas.vteximg.com.br/arquivos/ids/185309-1000-1000/escova-de-carvao-para-serra-marmore-makita-cb101-4100h-3655100005-wurth--2-.png?v=638415207238330000 | https://www.eletropartscomponentes.com.br/wp-content/uploads/2026/01/foto_produto_ferramenta_55.png
3287,CARVAO FERRARI SERRA MARMORE 407 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão Ferrari Serra Marmoré 407, um produto utilizado para churrasco e outras atividades de queima.",Dimensões: 12x17x7 mm. Quantidade: 10 peças por kit.,https://www.cisel.com.br/escovas-de-carvao-serra-marmore-ferrari-sm110-407,Não encontrado,https://http2.mlstatic.com/D_NQ_NP_857103-MLB80006310600_102024-O.webp | https://images.tcdn.com.br/img/img_prod/571024/escovas_de_carvao_ferrari_serra_marmore_sm_110_a_cod_407_12x17x7_760_1_91babbcd03c7aeeab02d7d8b4dc0bcd3.jpg | https://i.ytimg.com/vi/TigMq_OjKOY/maxresdefault.jpg
10536,CARVÃO FURAD BOSCH 3655 100 003,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão furad da marca Bosch, modelo 3655 100 003.",,Não encontrado,Não encontrado,
10544,CARVÃO FURAD BOSCH 3655 100 008,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão furad da marca Bosch, modelo 3655 100 008.",,Não encontrado,Não encontrado,
10548,CARVÃO FURAD MAKITA 3655 100 011,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão furad Makita 3655 100 011, um componente de reposição para ferramentas elétricas Makita.","Compatível com modelos Makita, resistente e de alta durabilidade.",Não encontrado,Não encontrado,https://http2.mlstatic.com/D_NQ_NP_634592-MLB72243458157_102023-O.webp | https://http2.mlstatic.com/D_NQ_NP_692873-MLB44906690846_022021-O.webp | https://www.eletropartscomponentes.com.br/wp-content/uploads/2026/01/foto_produto_ferramenta_36.png
10538,CARVÃO LIXAD MAKITA 3655 100 004,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,O Carvão Lixad Makita 3655 100 004 é um componente de reposição para lixadeiras Makita.,"Compatível com lixadeiras Makita, código 3655 100 004.",Não encontrado,Não encontrado,https://http2.mlstatic.com/D_NQ_NP_833218-MLB72291186948_102023-O.webp | https://d3ugyf2ht6aenh.cloudfront.net/stores/002/247/567/products/carbon-cb851-5a9744c5c7e94dec0f16837320876995-640-0.jpg | https://http2.mlstatic.com/D_NQ_NP_653345-MLB53432795412_012023-O.webp
460,CARVAO MAKITA (373) 0112 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O produto é um carvão da marca Makita, modelo 373 0112. É utilizado para equipamentos da marca.","Kit contém 10 peças de carvão para furadeiras Makita, compatível com modelos específicos.",Não encontrado,Não encontrado,https://a-static.mlcdn.com.br/800x560/carvao-furadeira-makita-cb419-1210-373-kit-c-10-metal-grafite/rcdshop/20180912/8d43a1eb82903b6b494da6d2880e16c5.jpeg | https://a-static.mlcdn.com.br/800x560/escova-carvao-makita-furadeiras-lixadeira-e-martelos-373/raquellimportadoraedistribuidora/55af785a6b5511ed94bf4201ac185019/dd8044f7f461d2e1075c34e67b55a1f9.jpeg | https://http2.mlstatic.com/D_NQ_NP_634592-MLB72243458157_102023-O.webp
1653,CARVAO MAKITA (406) NH 4.100 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,O Carvão Makita NH 4.100 é um componente de reposição para ferramentas elétricas da marca Makita.,"Compatível com ferramentas Makita, modelo NH 4.100.",Não encontrado,https://www.makita.pt/manuais-de-instruções.html,
1651,CARVAO MAKITA 0212A ( 338 ) *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,O Carvão Makita 0212A (338) é um componente de reposição para ferramentas elétricas Makita. É utilizado para manutenção e substituição em modelos específicos.,,Não encontrado,Não encontrado,https://http2.mlstatic.com/D_NQ_NP_809523-MLB80261469899_102024-O.webp | https://cdn.sistemawbuy.com.br/arquivos/f3e22f7ffd7995387ae66f8741b64c00/produtos/644958321e1e5/carvao-makita-644958326bd6d_mini.jpeg | https://http2.mlstatic.com/D_NQ_NP_634592-MLB72243458157_102023-O.webp
1916,CARVAO MAKITA 0412-C *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"O produto é um carvão da marca Makita, modelo 0412-C. É um componente utilizado em ferramentas elétricas.",,Não encontrado,Não encontrado,https://cdn.sistemawbuy.com.br/arquivos/f3e22f7ffd7995387ae66f8741b64c00/produtos/644958321e1e5/carvao-makita-644958326bd6d_mini.jpeg | https://http2.mlstatic.com/D_NQ_NP_634592-MLB72243458157_102023-O.webp | https://down-br.img.susercontent.com/file/cb0aaf57bf772670a44027518f89fdc3
4516,CARVAO MAKITA 366 - B LIXADEIRA *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Lixadeira Makita 366-B, um equipamento de alta performance para lixar superfícies de madeira e metal.",,Não encontrado,Não encontrado,https://http2.mlstatic.com/D_NQ_NP_833218-MLB72291186948_102023-O.webp | https://http2.mlstatic.com/D_NQ_NP_624266-MLB73225458718_122023-O.webp | https://d3ugyf2ht6aenh.cloudfront.net/stores/002/247/567/products/carbon-cb851-5a9744c5c7e94dec0f16837320876995-640-0.jpg
1654,CARVAO MAKITA HP 1.500 *,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão Makita HP 1.500, um componente de reposição para ferramentas elétricas Makita.","Capacidade de fluxo: 3.000 L/h, inclui vaso com válvula manual, tubo central e crepinas.",https://www.lojaeraambiental.com.br/filtro-central-de-agua/carvao-ativado/copia-kit-nea-36c-filtro-de-carvao-ativado-1-500-a-2-500-litroshora-leito-vaso-com-valvula-manual-tubo-central-e-crepinas,Não encontrado,
6107,CARVAO P/ SERRA MARMORE BOSCH 1551.3 ( 417),ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão para serra mármore Bosch, modelo 1551.3 (417).",,Não encontrado,Não encontrado,https://http2.mlstatic.com/D_NQ_NP_848378-MLA71901288399_092023-O.webp | https://http2.mlstatic.com/D_NQ_NP_627314-MLB70112786725_062023-O-2-escova-carvo-serra-marmore-bosch-gdc150-gdc151-original.webp | https://cdn.awsli.com.br/2500x2500/2579/2579108/produto/226990804/37ef42bc62cc4a7694bbe1123ad75343-product-images-2563261-84606967afcb4ceda800983f-jlhhyqbgvk.jpeg
10540,CARVÃO SERRA MAR MAKITA 3655 100 005,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO,"Carvão Serra Mar Makita 3655 100 005, um componente para ferramentas elétricas Makita.",Compatibilidade: Serra Mármore Makita CB101-4100H; Espessura: 6mm; Comprimento: 16mm; Material: Carbono Grafite; Largura: 10mm; Garantia: 3 meses.,https://www.fermaquinas.com.br/escova-de-carvao-para-serra-marmore-makita-cb101-4100h-3655100005-wurth/p,Não encontrado,https://fermaquinas.vteximg.com.br/arquivos/ids/185309-1000-1000/escova-de-carvao-para-serra-marmore-makita-cb101-4100h-3655100005-wurth--2-.png?v=638415207238330000 | https://cdn.construja.com.br/produtos/199741/199741.jpg | https://http2.mlstatic.com/D_NQ_NP_889164-MLA79344826180_092024-O.webp
